Italian,Bulgarian
Buongiorno,Добро утро
Buonasera,Добър вечер
Grazie,Благодаря
Prego,Моля
Per favore,Моля
Menu,Меню
Antipasto,Предястие
Primo piatto,Първо ястие
Dolce,Десерт
Conto,Сметка
Acqua,Вода
Vino,Вино
Birra,Бира
Tavolo,Маса
Cameriere,Сервитьор
Cameriera,Сервитьорка
Buon appetito,Приятно хранене
Ben cotto,Добре сготвено
Spremuta di frutta,Фреш
Mi chiamo,Казвам се
Io sono,Аз съм
Io sono di Bulgaria,Аз съм от България
Sono qui in vacanza,Тук съм на почивка
Mi piace,Харесва ми
Famiglia,Семейство
Genitori,Родители
Madre,Майка
Padre,Баща
Figlio,Син
Figlia,Дъщеря
Fratello,Брат
Sorella,Сестра
Nonno,Дядо
Nonna,Баба
Zio,Чичо
Zia,Леля
Cugino,Братовчед
Cugina,Братовчедка
Dove è ...?,Къде е ...?
Dov'è il bagno?,Къде е тоалетната?
Dritto,Направо
A sinistra,Наляво
A destra,Надясно
Sempre dritto,Само направо
Di fronte a,Пред
Vicino,Близо
Lontano,Далече
Quanto dista...?,Колко далече е...?
Qui,Тук
Lì,Там
Oltre,Оттам
Dietro,Отзад
Caffè,Кафе
Un caffè lungo,Дълго кафе
Un caffè doppio,Двойно кафе
Decaffeinato,Безкофеиново
Cappuccino,Капучино
La conto,Сметката
Quanto costa?,Колко струва?
Carta di debito,Дебитна карта
Provarlo,Да пробвам
Trovare,Да намеря
Accetto?,Приемате ли?
Quanto è grande?,Колко е голямо?
Taglia,Размер
Mi piace...,Харесва ми...
Preferisco...,Предпочитам...
Adoro...,Обожавам...
Non mi piace...,Не ми харесва...
Detesto...,Мразя...
Vorrei...,Бих искал/а...
Mi interessa...,Интересува ме...
Trovo che...,"Смятам, че..."
Penso che...,"Мисля, че..."
Bisogno di aiuto,Нужда от помощ
Mi sono perso/a.,Загубих се.
Ho un problema.,Имам проблем.
Guidare,Да упътя
In contanti,В брой
Camerini,Съблекалните
Stazione,Гара
Biglietto,Билет
A che ora...?,В колко часа..?
Quanto tempo?,Колко време?
Vorrei un biglietto...,Искам билет...
L'aereo,Самолетът
Тaxi,Tакси
I bagagli,Багажи
Terminal,Терминал
Bibliotecaria,Библиотекарка
Colore,Цвят
Dottore,Доктор
Italiani,Италианци
Gatto,Котка
Cane,Куче
Animali,Животни
Ragazza,Момиче
Ragazzo,Момче
Telefono,Телефон
Portafoglio,Портфейл